"kind","id","name","type","folder","purpose","refsVariables","refsTriggers","refsTemplates","usedByTags","usedByTriggers","usedByVariables"
"tag","182","Facebook - Store event_id","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","193","Facebook - Subscribe","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","22","1","0","0","0","0"
"tag","198","Facebook - Account Sign Up","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","199","Facebook - Search","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","7","1","0","0","0","0"
"tag","201","Facebook - Add Payment Info","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","9","1","0","0","0","0"
"tag","203","Facebook - Add to Cart","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","10","1","0","0","0","0"
"tag","204","Facebook - Initiate Checkout","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","9","1","0","0","0","0"
"tag","205","Facebook - Product View","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","10","1","0","0","0","0"
"tag","206","Facebook - View Category","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","6","1","0","0","0","0"
"tag","207","Facebook - Email Signup","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","210","Facebook - Purchase","html","Elevar 2.0 - FB","Dispatches marketing event or config tag.","22","1","0","0","0","0"
"tag","221","GA4 Event - collection page - product lists click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","223","GA4 Event - home page - featured collection click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","227","GA4 Event - navigation - footer nav click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","229","GA4 Event - product page - add to cart click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","231","GA4 Event - recommended products click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","233","GA4 Event - home page - shop onesies click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","237","GA4 Event - home page - featured products click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","2","0","0","0","0"
"tag","239","GA4 Event - cart drawer - upsell products click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","247","GA4 Event - global feature - quickshop atc button click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","248","GA4 Event - home page - deal of the week click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","250","GA4 Event - navigation - desktop main nav click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","2","0","0","0","0"
"tag","251","GA4 Event - product page - hot seller products click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","253","GA4 Event - navigation - mobile main nav click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","255","GA4 Event - collection page - colletion filter click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","256","GA4 Event - home page - hero image button click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","259","GA4 Event - cart drawer - checkout click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","260","GA4 Event - product page - product variants click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","261","GA4 Event - home page - featured category click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","262","GA4 Event - global feature - quickshop variant option click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","263","GA4 Event - navigation - announcement header click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","264","GA4 Event - home page - instagram feed interaction click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","265","GA4 Event - home page - shop outfit section click","gaawe","Elevar - GA4 Custom Events","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","269","GA4 - Search","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","274","GA4 - Add Payment Info","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","278","GA4 - Click Item From Collection Page","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","280","GA4 - Login","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","286","GA4 Base Tag Configuration","googtag","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","3","1","0","0","0","0"
"tag","288","GA4 - SMS Subscribe","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","290","GA4 - Begin Checkout","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","292","GA4 - View Cart","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","293","GA4 - Collection View","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","2","2","0","0","0","0"
"tag","295","GA4 - Remove From Cart","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","297","GA4 - Add Shipping Info","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","298","GA4 - Email Subscribe","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","299","GA4 - Item View","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","302","GA4 - Purchase","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","9","1","0","0","0","0"
"tag","304","GA4 - Sign Up For Account","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","1","1","0","0","0","0"
"tag","305","GA4 - Add to Cart","gaawe","Elevar 2.0 - GA4","Dispatches marketing event or config tag.","4","1","0","0","0","0"
"tag","312","Google Ads - Enhanced Conversions - Phone","awud","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","313","Google Ads - Enhanced Conversions - Email","awud","Elevar 2.0 - Google Ads","Dispatches marketing event or config tag.","2","1","0","0","0","0"
"tag","442","*Update After Import* GA4 Event - Youtube Videos","gaawe","Elevar - Video Tagging","Dispatches marketing event or config tag.","0","1","0","0","0","0"
"trigger","35","Event - view_item_list","CUSTOM_EVENT","Elevar 2.0 - Collection and Search Page","Fires when dataLayer/custom event matches dl_view_item_list","0","0","0","5","0","0"
"trigger","36","Event - add_to_cart","CUSTOM_EVENT","Elevar 2.0 - Product Page","Fires when dataLayer/custom event matches dl_add_to_cart","0","0","0","6","0","0"
"trigger","45","Event - view_cart","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_view_cart","0","0","0","2","0","0"
"trigger","55","Event - view_search_results","CUSTOM_EVENT","Elevar 2.0 - Collection and Search Page","Fires when dataLayer/custom event matches dl_view_search_results","0","0","0","6","0","0"
"trigger","59","All Pages - Window Loaded","WINDOW_LOADED","Elevar 2.0 - Global","Fires when dataLayer/custom event matches (rule condition)","0","0","0","2","0","0"
"trigger","62","Event - dl_purchase","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_purchase","0","0","0","8","0","0"
"trigger","64","Event - view_item","CUSTOM_EVENT","Elevar 2.0 - Product Page","Fires when dataLayer/custom event matches dl_view_item","0","0","0","7","0","0"
"trigger","87","Event - sign_up","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_sign_up","0","0","0","4","0","0"
"trigger","90","Event - subscribe - email","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_subscribe","1","0","0","4","0","0"
"trigger","97","Timer - 10 Seconds","TIMER","Elevar - Monitoring","Fires when dataLayer/custom event matches (rule condition)","0","0","0","0","0","0"
"trigger","108","All Events","CUSTOM_EVENT","Elevar - Monitoring","Fires when dataLayer/custom event matches .*","0","0","0","1","0","0"
"trigger","113","Event - subscribe - phone","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_subscribe","1","0","0","2","0","0"
"trigger","120","Event - user_data","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_user_data","0","0","0","4","0","0"
"trigger","123","Exception - Product Pages","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches .*","0","0","0","1","0","0"
"trigger","159","Event - subscription purchase","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_purchase","1","0","0","2","0","0"
"trigger","162","Event - add_payment_info","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_add_payment_info","0","0","0","3","0","0"
"trigger","169","Event - begin_checkout","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_begin_checkout","0","0","0","3","0","0"
"trigger","173","Event - user data - exclude collection and product pages","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_user_data","0","0","0","0","0","0"
"trigger","178","Exception Event - Purchase Thank You Page","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches .*","0","0","0","1","0","0"
"trigger","181","Event - user_data - Thank You Page","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_user_data","0","0","0","1","0","0"
"trigger","220","Click - GA4 Event - collection page - product lists click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","222","Click - GA4 Event - home page - featured collection click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","224","Click - GA4 Event - home page - featured category click","LINK_CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","225","Click - GA4 Event - navigation - announcement header click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","226","Click - GA4 Event - navigation - footer nav click","LINK_CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","228","Click - GA4 Event - product page - add to cart click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","230","Click - GA4 Event - recommended products click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","232","Click - GA4 Event - home page - shop onesies click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","234","Click - GA4 Event - home page - instagram feed interaction click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","235","Click - GA4 Event - home page - featured products click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","236","Click - GA4 Event - home page - featured products 2 click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","238","Click - GA4 Event - cart drawer - upsell products click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","1","0","0","1","0","0"
"trigger","240","Click - GA4 Event - home page - shop outfit section click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","241","Click - GA4 Event - navigation - desktop main nav 2 click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","242","Click - GA4 Event - cart drawer - checkout click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","243","Click - GA4 Event - navigation - desktop main nav click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","244","Click - GA4 Event - product page - hot seller products click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","245","Click - GA4 Event - home page - deal of the week click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","246","Click - GA4 Event - global feature - quickshop atc button click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","249","Click - GA4 Event - home page - hero image button click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","252","Click - GA4 Event - navigation - mobile main nav click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","254","Click - GA4 Event - collection page - colletion filter click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","257","Click - GA4 Event - global feature - quickshop variant option click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","258","Click - GA4 Event - product page - product variants click","CLICK","Elevar - GA4 Custom Events","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","275","Event - select_item","CUSTOM_EVENT","Elevar 2.0 - Collection and Search Page","Fires when dataLayer/custom event matches dl_select_item","0","0","0","1","0","0"
"trigger","279","Event - login","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches dl_login","0","0","0","1","0","0"
"trigger","294","Event - remove_from_cart","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_remove_from_cart","0","0","0","1","0","0"
"trigger","296","Event - add_shipping_info","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_add_shipping_info","0","0","0","1","0","0"
"trigger","310","All Events - Phone Defined","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches .*","1","0","0","1","0","0"
"trigger","311","All Events - Email Defined","CUSTOM_EVENT","Elevar 2.0 - Global","Fires when dataLayer/custom event matches .*","1","0","0","1","0","0"
"trigger","422","Event - shopify_dl_purchase","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches shopify_dl_purchase","0","0","0","0","0","0"
"trigger","426","Event - quick-add","CUSTOM_EVENT","Elevar 2.0 - Product Page","Fires when dataLayer/custom event matches quick-add","0","0","0","0","0","0"
"trigger","441","Youtube Video","YOU_TUBE_VIDEO","Elevar - Video Tagging","Fires when dataLayer/custom event matches (rule condition)","0","0","0","1","0","0"
"trigger","480","Event - purchase","CUSTOM_EVENT","Elevar 2.0 - Cart and Checkout","Fires when dataLayer/custom event matches dl_purchase","0","0","0","1","0","0"
"trigger","568","BR - dl_add_to_cart - filtered","CUSTOM_EVENT","Elevar 2.0 - Product Page","Fires when dataLayer/custom event matches dl_add_to_cart","1","0","0","1","0","0"
"variable","22","dlv - Thank You Page - Order Revenue","cvt_NNSJS","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","4","0","1"
"variable","26","dlv - Product View - SKU","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","1"
"variable","28","dlv - Global - Currency Code","v","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","30","0","0"
"variable","29","dlv - Product View - Product ID","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","1"
"variable","30","regex - Page Type","remm","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","31","dlv - Product View - Details Array","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","4"
"variable","33","js - Google Ads - Product View - Shopify ID","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","37","dlv - Add to Cart - Add Array","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","4"
"variable","38","js - Google Ads - Add to Cart - Shopify ID","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","39","dlv - Add to Cart - Product ID","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","1","1"
"variable","40","dlv - Customer ID","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","15","0","0"
"variable","41","dlv - Global - Visitor Type","v","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","5","0","1"
"variable","42","dlv - Add to Cart - Variant ID","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","43","dlv - Add to Cart - Price","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","4","0","2"
"variable","46","dlv - ecommerce.impressions","v","Elevar 2.0 - Collection and Search Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","7"
"variable","47","js - Google Ads - Cart Page - Shopify ID","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","48","dlv - Cart Total","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","9","0","0"
"variable","50","dlv - Thank You Page - Customer Email","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","3","0","1"
"variable","51","dlv - Collection View - Name","v","Elevar 2.0 - Collection and Search Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","52","dlv - Thank You Page - Customer Country Code","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","1"
"variable","53","dlv - Thank You Page - Customer Total Order Count","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","2"
"variable","54","dlv - Thank You Page - ecommerce.purchase.products","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","13"
"variable","56","url - Search - Search Term","u","Elevar 2.0 - Collection and Search Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","7","0","0"
"variable","57","js - Google Ads - Collection Page - Shopify ID","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","2","0","0"
"variable","60","dlv - Add to Cart - SKU","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","1"
"variable","61","dlv - Product View - Variant ID","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","63","dlv - Thank You Page - Customer Zip","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","1"
"variable","65","dlv - Thank You Page - Customer Last Name","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","1"
"variable","66","js - New Customer - True or False","jsm","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","67","dlv - Thank You Page - Customer Lifetime Value","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","0"
"variable","69","dlv - Thank You Page - Order ID","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","8","0","1"
"variable","70","dlv - Product View - Price","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","4","0","0"
"variable","72","dlv - Thank You Page - Customer Phone Number","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","3","1","2"
"variable","73","dlv - Thank You Page - Customer City","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","1"
"variable","74","dlv - Thank You Page - Customer First Name","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","1"
"variable","75","dlv - Thank You Page - Customer Address 1","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","1"
"variable","76","dlv - Thank You Page - Customer State","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","1"
"variable","77","Enhanced Conversion Data","awec","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","9","0","0","3","0","0"
"variable","79","js - Google Ads - Purchase - Shopify ID","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","82","js - Google Ads - Purchase Product Data","jsm","Elevar 2.0 - Google Ads","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","83","dlv - event_id","v","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","26","0","1"
"variable","84","dlv - Customer Email","v","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","10","1","2"
"variable","86","Pinterest ID","c","Elevar / Pinterest","Provides transformed or extracted value used by tags/triggers.","0","0","0","9","0","0"
"variable","89","dlv - Subscribe - Lead Type","v","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","2","0"
"variable","91","dlv - ecommerce.checkout.products","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","7"
"variable","92","dlv - Thank You Page - Coupon Code Name","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","93","js - Thank You Page - Total Product Quantity","jsm","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","94","js - Checkout Page - SKUs","jsm","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","1","0","0","0","0","0"
"variable","99","dlv - Product View - Inventory","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","0"
"variable","100","dlv - Product View - Image","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","0"
"variable","101","dlv - Add to Cart - Inventory","cvt_NNSJS","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","0","0","0"
"variable","102","js - Collection - Pinterest line items","jsm","Elevar / Pinterest","Provides transformed or extracted value used by tags/triggers.","1","0","0","2","0","0"
"variable","104","DOM - Page Title","d","Elevar 2.0 - Global","Provides transformed or extracted value used by tags/triggers.","0","0","0","8","0","0"
"variable","106","js - Thank You Page - Pinterest line items","jsm","Elevar / Pinterest","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","109","dlv - Thank You Page - Shipping","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","112","dlv - Thank You Page - Order Subtotal","cvt_NNSJS","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","114","dlv - Thank You Page - Tax","v","Elevar 2.0 - Cart and Checkout","Provides transformed or extracted value used by tags/triggers.","0","0","0","1","0","0"
"variable","115","js - Add To Cart - Pinterest line items","jsm","Elevar / Pinterest","Provides transformed or extracted value used by tags/triggers.","1","0","0","1","0","0"
"variable","116","dlv - Add to Cart - Quantity","v","Elevar 2.0 - Product Page","Provides transformed or extracted value used by tags/triggers.","0","0","0","2","0","2"
